"locality_id","locality","n"
"L1311142","Yellowstone NP--Lost Lake",6
"L1311200","River Bluff Wildlife Area",6
"L1311204","Grand Teton NP--Colter Bay Campground",10
"L13112442","Wilsele - Vijvers van Bellefroid",2
"L13113245","Mississippi River levee--LSU to Farr Park",5
"L1311451","Sitka Spruce Park (Dutch Harbor)",25
"L13114605","Martha's Vineyard Regional High School",1
"L131149","Irondequoit Bay Outlet (Pier and Marine Park)",3212
"L1311508","Park Marszałka E. Rydza-Śmigłego",9
"L13115294","Sumas Creek at Kneuman Road",1
"L131153","Point Pelee National Park (general location for observations within the park)",10838
"L1311573","North Alexander Park",36
"L1311595","Luther Marsh--East Bay",25
"L131170","Eagle Lake Refuge",334
"L13117342","Skagway--Yakutania Point",1
"L131174","Overton Park",340
"L131176","Hatchie NWR",90
"L13117988","stakeout Townsend's Warbler, Dexter St, Derry (2021)",42
"L1311850","Ketchikan--Mountain Point",216
"L1311856","Prince of Wales Is.--Klakas Lake",3
"L1311889","Folsom Lake SRA--American River at Salmon Falls Bridge",20
"L1311915","Ketchikan--North Point Higgins School",23
"L13119375","Putah Creek Riparian Reserve (YOL Co.)",9
"L1311948","Red Mill Pond",140
"L1311965","Kaercher Creek Park",57
"L1312006","Pueblo Libre (Canastero Site)",27
"L13120303","PARNA da Serra do Divisor",1
"L1312042","PN Tikal--sitio arqueológico (Complejo Q)",23
"L1312043","Wicken Fen NNR--Sedge Fen",16
"L1312046","PN Tikal--sitio arqueológico Tikal (Gran Plaza)",33
"L1312052","PN Tikal--sitio arqueológico (Templo IV)",138
"L13120665","Sierra Verde Park",16
"L131207","Shelby Farms Park--Conservancy (Recreation Complex)/Plough Park",52
"L1312080","Valle de Santa Eulalia--Cerro Milloc",14
"L1312086","Huaraz--Camino de Koky",5
"L1312172","LaCosta Urban Wetlands",60
"L13121948","Wickman Rd--north of 162",6
"L13121952","Aguas Frias Rd.",1
"L1312217","Goose Island",7
"L13122361","Asillah - South Cliffs",1
"L13122515","Großer Weserbogen--Mittlerer See",3
"L1312278","Arco Ponds",615
"L13122976","Khok Sung--along Song Khon Canal",1
"L13123272","Gaganachukki Falls",3
"L1312347","South Gateway Visitor Center",48
"L1312388","Lawrence Riverfront SP",30
"L13124122","Khui Muang paddies",1
"L13124205","Rio dos Cedros--Fazenda Ventania",1
"L13124324","Serra d'Oltà",1
"L13124462","Central Hampshire Park",1
"L13124805","Maquin--Linha Jaguarão",1
"L13125438","Cantalobos--Pedregales Altos",5
"L13125642","Canal de las Aves, Aranjuez",11
"L1312587","Ketchikan--Brown Mountain Road",21
"L1312600","Clover Passage",66
"L13126111","Glavinitsa (village)",12
"L1312613","Ketchikan--White River",8
"L1312634","Prince of Wales Is.--Klawock Lake (Klawock)",3
"L1312637","Prince of Wales Is.--Staney Creek Estuary",3
"L1312651","Offshore--Port MacDonnell Pelagic",40
"L13126584","Jena--Ammerbacher Oberweg",9
"L1312664","Cooksey Park",10
"L131269","Dragon Run Marsh",519
"L13127032","Leeper Lane Park",4
"L1312705","Elbow Slough WMA",18
"L1312736","Grindavík--Þórkötlustaðabót",4
"L1312783","Kirkwood Preserve",272
"L1312817","Ketchikan--Ward Cove",1
"L13128325","Upper Spencer Brook Valley & Gorge",3
"L13129201","C&O Canal--East Offut St. - Evitts Creek Aqueduct",4
"L1312931","Ketchikan--Whipple Creek Logging Road",12
"L1312993","Coney Island Creek--Leon S. Kaiser Park",31
"L1313003","Smith Richardson Wildlife Preserve",8
"L1313069","Grand Teton NP--Elk Ranch Flats Turnout",32
"L13132122","Berlin--Stadtpark Lichtenberg",1
"L13132163","Berlin--Zentralfriedhof Friedrichsfelde",1
"L1313224","Ketchikan--Shoreline Drive",9
"L13132302","Berlin--Parkfriedhof Lichterfelde",1
"L13132355","Skeet Eason Hike and Bike Trail",1
"L1313246","Ketchikan--Sunset Drive",20
"L1313278","Pt. Reyes--McClures Beach",159
"L1313283","Ellmaker SP",21
"L13132872","Concho Key rd, Galveston",1
"L1313296","Big Lake",22
"L1313315","Laguna Columbia",9
"L1313326","San Diego International Airport",9
"L131333","Pawnee National Grassland--Crow Valley Campground",569
"L1313330","Muskrat Lake (Rock Co.)",113
"L1313342","Beaver Pond Park, North Pond",90
"L1313375","San Luis NWR--Freitas Unit (restricted access)",1
"L1313468","Dinosaur National Monument--Harpers Corner Trail",7
"L1313480","Dinosaur National Monument--Canyon Area Visitor Center",80
"L13134983","Rosemont Bluff Natural Area",1
"L1313532","Kota Kinabalu--waterfront",79
"L13135429","Perry Switch Rd, Wetland Mitigation Site",2
"L13135455","Oasi WWF San Giuliano Milanese",1
"L1313551","Ketchikan--NE Gravina Island-Pond & Muskeg Complex",4
"L1313623","Piccaninnie Ponds Conservation Park",13
"L13137407","stakeout Varied Thrush, Sussex (2021)",24
"L1313783","Sea Gull Beach, Yarmouth",786
"L13138569","Ocean Avenue Park",2
"L13138994","El Palo Alto Park",1
"L13139537","Chinchilla Botanic Parkland",1
"L1313964","Bexar Co.--Jungman Road",177
"L13139648","Spring Warrior Fish Camp",1
"L13139941","San Juan Island--Argyle Lagoon Marine Preserve",3
"L13139944","Lake Venice Golf Club",19
"L1314017","Bonneville Shoreline Trail--Red Butte Canyon to Emigration Canyon",32
"L1314027","Lake Morton",135
"L1314081","Adak Is.--Airport Creek mouth",24
"L13141128","Alpine National Park--Wellington River campgrounds",1
"L13141178","Alpine National Park--Bryces Gorge walk",1
"L1314128","Adak Is.--Contractor Camp Marsh",8
"L13141397","Dandeli Milind's Hideout, Kondapa, Dandeli, Karnataka, IN",5
"L1314140","Potter Valley--lower Pine Ave.",36
"L13141668","Syamkhat",6
"L13141672","Druid Valley",1
"L13141684","Lisa Tolman Wotton Preserve",1
"L13141773","Te Hapua (General)",1
"L13141908","Casco Histórico de Barajas, Madrid",2
"L131422","Lake Estes",1005
"L13142258","Parc",2
"L13142260","Bilzen - Domein Hoefaert",1
"L13142506","Cabeza del Buey--Arroyo del Buey (Depuradora)",4
"L1314252","Ketchikan--Rotary Beach Park",249
"L13142556","Aachen--Salvatorberg",1
"L1314267","Misty Fiords NMW--Unuk River-7 to 14 Mile Upriver",5
"L13142670","Wang Phikun paddies",3
"L131428","Sabattus Pond--south end",296
"L1314341","Waimea-Kohala Airport",81
"L1314376","Beachport Conservation Park",13
"L13144743","Climbing Tree Farm",1
"L13144859","Quai Brideloup",2
"L1314502","Ridgemark WTP",1
"L13145117","Soria, El Mirón-San Pedro",13
"L1314526","Lake Naivasha--Loldia House",16
"L1314590","Bullhead City--Rotary Park STP",1
"L1314638","Hamlin Beach SP--Parking Area No. 5",211
"L13146502","Spitzenberg-Michelbach-Baiershälde (NSG)",1
"L13146591","GR-10 Boalo-Mataelpino",1
"L13146757","Koçhisar barajı / Alaca",1
"L13146829","Pago del Humo--Pueblo",2
"L1314697","Seine Field, Gloucester",6
"L1314718","Massawepie Mire--Boardwalk",1
"L13147481","Bolton Office Park",2
"L13147897","Dells of the Wisconsin River SNA",1
"L13147919","Texas Wildlife Association, New Braunfels",1
"L1314800","Wollongong Botanic Garden",913
"L1314809","Deer Lake",40
"L13148105","Monteith Riverpark",4
"L1314814","Jump-Off-Joe Lake",15
"L1314847","Idaho Botanical Gardens",7
"L13148651","stakeout Hooded Oriole, Bay Center (2020-2021)",38
"L13148932","Chinthurst Hill SWT LNR",7
"L1314901","San Clemente Dam vicinity (restricted access)",2
"L1314909","Monterosa/Pacha Conservancy",179
"L13150151","Aire écologique Ogden",3
"L13150488","Offenburg--Gifizsee",23
"L13150826","Costa norte--Área general",57
"L1315083","Zülpicher See",12
"L13151426","Glen Emerald Park",1
"L1315162","West Ave. Flood Control Basin",9
"L1315170","PN Vale do Guadiana--Alcaria Ruiva",15
"L1315269","Woodward Reservoir--28 Mile Rd.",218
"L131532","Cimarron NG--Point of Rocks",258
"L1315337","Roosevelt Truck Trail, south section",116
"L131535","Clear Lake Campground",2
"L1315434","North Cascades NP -- Hozomeen Lake Trail",3
"L1315445","Boise River Greenbelt at Mile SW 5.2",89
"L1315457","North Cascades NP -- Trail of the Obelisk",1
"L13154711","Twin Lakes County Park",5
"L1315543","Bingo Hall Lagoon",58
"L1315583","Revillagigedo Is.--Naha River-Roosevelt Lagoon",1
"L1315587","Chocorua Lake, Tamworth",44
"L1315589","Ketchikan--Naha River-Orton Ranch (Restricted Access)",28
"L13156319","Hopliass Piscicultura",1
"L13156350","Camp Huaco Springs",21
"L13156610","Providence Ponds Rest Area",1
"L13157111","Indian Canyons Golf Resort dike trail",2
"L13157232","Rest Haven Cemetery",3
"L13157982","West Hume woodland and wetlands",6
"L1315799","Waukau Creek Retention Pond",7
"L13158192","Texas City WTP",33
"L13158232","Platte Lake DNR boat launch",1
"L13158660","Crown Park",3
"L13158670","Wayanad Wild",4
"L13158983","東広島市--ががら第2公園 (Higashihiroshima--Gagara #2 Park)",3
"L13159234","Congosto--Santuario Ntra. Sra. de La Peña",1
"L13160006","Hilton--General",2
"L1316003","Six Diamonds Ballfields",88
"L1316062","Felchowseegebiet--Der große Felchowsee",15
"L1316071","Laguna de los Condores/Laguna de las Momias",5
"L1316083","Skagit Valley Provincial Park--Skagit River Trail",16
"L1316119","Skagit Valley Provincial Park--Nepopekum Bar",6
"L13161254","Beachy Head Ringing Station",2
"L131616","Lake Meredith",49
"L13161617","Namhansanseong",4
"L131618","Rocky Ford--WTP",6
"L131620","Cheraw Lake",407
"L131621","Pueblo City Park",852
"L13162134","Essen--Ostfriedhof",2
"L131622","Jenks/Guggins Brook Conservation Area, Acton",472
"L13162399","Itzelberger See",2
"L1316252","Skagit Valley Provincial Park--Chittenden Meadow",31
"L1316257","Skagit Valley Provincial Park--Centennial Trail Middle",1
"L1316272","Tjörnes--Mánársel",48
"L1316278","Clinton Conservation Park",45
"L13163223","Sharon Woods Metro Park--Spring Creek Trail",44
"L13163305","Atlanterra",1
"L1316357","Worringer Bruch (NSG)",1
"L131648","Wakulla River City Park",8
"L13164839","Pickerel Lake Fen Preserve--Office (N8740 Pickeral Lake Rd)",1
"L13164929","Mall Quillota",1
"L1316518","Guadalupe River Trail--downtown San Jose",18
"L13165432","Aalen--Hochwasserrückhaltebecken Dürrwiesen",41
"L13166268","Cliff Valley School",18
"L13166358","Stockers Farm--Farm Floods",5
"L13166907","Krefeld--Stadtpark Uerdingen",1
"L13167080","Linthalkopf",1
"L13167094","Carroll Prairie",1
"L13168248","Amalfi Dr. Retention Pond",18
"L13168311","Vallée Bras-du-Nord--Sentier Delaney",1
"L131686","Wolfe's Neck Woods SP",233
"L13169187","Guayaquil--Parque de Urdesa",1
"L13170035","Edavetty Vanam--Thodupuzha",4
"L13170197","Beardy Waters Heritage Park",1
"L1317085","Stodders Neck",20
"L13171338","Centro de Poblado Tocachi",1
"L1317138","Upper Santa Ynez River--Fremont Campground",4
"L1317156","Arcata Bottoms--Warren Creek Farm",9
"L13171599","Chennimalai",1
"L13171690","Pickering Park",6
"L1317173","Eyjafjöll--Seljaland",20
"L1317180","Eyjafjöll--Ysti-Skáli",6
"L1317182","Eyjafjöll--Ásólfsskáli",15
"L131721","St. Marks NWR--Panacea Unit--Purify Bay Rd.",20
"L13172201","São Caetano do Sul--Praça Nipo-Brasileira",6
"L13172210","Sundheimer Grund (NSG)",1
"L13172339","Pasadena Fundamental Elementary",1
"L1317243","Anderson Lake CP--dam area",25
"L1317247","Los Padres NF--Thorn Meadows CG",4
"L1317255","Reykholt",15
"L13172627","South Downs NP--Pells Pool and Moat",18
"L13172628","Big Almaty chanel",1
"L13172770","Basford Hall Sidings (Restricted access)",2
"L1317288","Eyjafjöll--Drangshlíð",2
"L1317290","Skógar",18
"L13172902","Pakyong--General Area",10
"L1317308","Eyjafjöll--Rd. 1",5
"L13173391","Trilha Morro Spitzkopf",1
"L1317403","Sawyer Boat Ramp",2
"L1317417","Island Park",29
"L13174502","stakeout Varied Thrush--Sudbury (2020)",130
"L13174604","Minnakkal Lake and Surrounds மின்னக்கால் ஏரி",1
"L13174758","Ervadi Lake ஏர்வாடி ஏரி",1
"L13174766","Vaniyambadi (Salem) Chinna Eri Lake வாணியம்பாடி சின்ன ஏரி, சேலம்",1
"L13174948","Veerapandi Lake வீரபாண்டி ஏரி",1
"L1317525","Lake Deaton Boat Ramp",7
"L13175284","Postel - Ronde Put",1
"L13175381","Lungolago di Domaso",2
"L13175830","PN Lanín (AICA NE01)--Playa Ecocamping Ñorquinco",2
"L13175935","Edgewater Park, Foster City US-CA",1
"L1317633","Konyn Dairy (private property)",18
"L1317650","Lake Koshkonong--Royce Dallman Park (Rock Co.)",19
"L1317681","Old St. Hilary's OSP",1
"L1317744","Allegheny NF--Kinzua Dam Public Access",87
"L13177843","London--Creekside and Meadows Parks",2
"L1317790","Kelley Park",68
"L1317819","Kifubwa Stream Cave",3
"L1317830","Vedbæk Havn",6
"L13178834","Winnequah Boat Launch",6
"L13178856","Jet Propulsion Laboratory (no public access)",1
"L13179854","Estancia Amazonica",1
"L1318014","Rutland Water--South Arm 2",22
"L13180220","Kanunnah Bridge Picnic Area",2
"L13180442","Arthur River Boat Ramp",1
"L1318052","Summerhill SF--Lick St. Christmas Tree Farm",62
"L13181580","Akçakoca Açıkları",1
"L13181873","Plaza del Carmen, Madrid",2
"L13182060","Mallamoopampatti Lake மல்லமூப்பம்பட்டி ஏரி",1
"L13182085","Estadio Municipal de Renca",1
"L1318251","Claymont Wetland",75
"L13182596","Old Magzine House",512
"L1318280","Ketchikan--Naha River-Jordan Lake to Heckman Lake",1
"L13183194","John Tully WMA--Yankee Bar Tract",3
"L13183644","stakeout Rusty Blackbird--Dairy Creek (2021)",37
"L13183957","Kaisariani playground",7
"L1318405","Princess Ledges ",22
"L1318420","Wild River Harbor",1
"L1318422","Mount Vernon Unitarian Church",30
"L13184370","Lozevo Pond",2
"L13184832","Country Club Dr",1
"L1318496","Imatra--Linnanniityt",1
"L1318533","Clark's Island",31
"L1318580","Fort Pond Bay",105
"L13186442","Buena Vista Grasslands/Marsh--Elm Road",15
"L1318682","Bradley Lake",337
"L13186943","Filyos Fabrika İçi (değerlendirilecek)",1
"L1318698","Heritage Dairy Lagoons",2
"L1318715","Reykjavík--Elliðaárdalur",75
"L13187503","stakeout Harris's Sparrow, Hardin Rd (2021)",4
"L13187837","Vahrenholz (Fähre)",2
"L13187842","Vahrenholz--Schlosssee",2
"L1318798","Swanson Road Natural Area",2
"L1318803","Werner-Boyce Salt Springs SP--Scenic Dr. Trail Head",64
"L1318806","Reykjavík--Elliðaár",4
"L1318808","Þingvellir",60
"L1318819","Háifoss",2
"L1318823","Garðabær--Vífilsstaðavatn",65
"L1318826","Ármannsfell",3
"L13188390","Choshuenco--Playa Choshuenco",4
"L1318852","Demott Pond",1077
"L13188595","RPPN Eco Fazenda Morim",10
"L1318883","Training Dike Recreation Area",154
"L1318886","Crosby Beach",154
"L13189044","Bhagalpur Lake",1
"L1318914","San Antonio Zoo",178
"L13189659","Derwent Bridge--The Wall",1
"L1318971","Yellowstone NP--Boiling River Trail",7
"L1318994","North St. Paul Urban Ecology Center",11
"L13190245","Dunalley--Fulham Rd Foreshore",1
"L13190329","Krachang Ngam Reservoir",1
"L13190337","Sala Daeng paddies",1
"L13190393","Julianna Park",4
"L1319079","Holy Island--Vicar's Garden",2
"L13190973","Bosque de Comechingones",6
"L1319103","Sheffield Rd., GenEx Facility Fields",1
"L13191066","Музей-усадьба Остафьево (Ostafyevo Museum territory)",1
"L13191114","Nam Suem paddies",1
"L13191235","College of Forestry, Ponnampet",1
"L1319170","Hotel Tirol",5
"L13192239","Burnham on Sea Esplanade",1
"L13192262","Rio Claro--Pontinha",1
"L13192282","Rio Claro--Mata do Tachuri",1
"L13192465","Fornebu--Lilløyplassen",4
"L13192782","Donaldson Road Fields",1
"L13192836","Sítio Ibi",2
"L13193376","Blyth Estuary - Bulcamp Marshes",18
"L1319358","Granite Mtn.",1
"L1319368","El Pedregal Nature Lodge and Retreat Center",402
"L1319372","虎跳峡 (Tiger Leaping Gorge)",6
"L1319394","Mapleton Lilyponds",159
"L1319404","PN Langue de Barbarie--Mainland",8
"L1319429","Flói--Flóagafl (Friðlandið í Flóa (Flói Bird Reserve))",17
"L1319434","Óseyrarbrú",13
"L1319438","Melasveit--Rd. 1",9
"L1319447","Bjarnarhafnarfjall",4
"L13194882","Hanau--Kaiserteiche",40
"L1319499","Heiðmörk--Vífilsstaðahlíð",7
"L1319530","Lake of the Woods--Sunset Campground",5
"L13195465","Unna--Bornekamp Park (Südteil)",25
"L13195494","SN Humedal Salinas de Pullally y Dunas de Longotoma--Punta La Ligua",1
"L1319557","Krafla-Dalfjall",6
"L1319559","Seltjarnarnes (town)",8
"L1319637","Picacho SRA",139
"L13196642","Ea. Laguna Amarga",1
"L1319681","Oneida Shores CP--Muskrat Bay",131
"L1319730","Calgary--Ralph Klein Park",400
"L13197553","Captain Cook Holiday Park (restricted access)",2
"L13197807","Linwood School Forest and Community Park",1
"L13198121","Assis Brasil--general area",1
"L13198267","Katherine Lake",1
"L13198920","Matanuska Greenbelt Trails",1
"L131993","San Marcos de Apalache Historic SP",66
"L13199611","West Kelowna--Pebble Beach",6
"L1320023","Sihanoukville (coastal)",30
"L13200308","Amsterdam--Gerbrandypark",1
"L1320034","Bucharest general",1
"L13200476","Termales El Escondite",4
"L1320071","Városliget Park--Budapest",62
"L13201398","Aldeen Golf Course",7
"L1320157","Shadow Mountain Lake",90
"L1320165","Montevideo--Club de Pesca",15
"L1320178","Narrows-Princeton Rd. (Raptor Alley)",39
"L1320199","Reykjavík--Kringlumýrarbraut",5
"L1320278","Silver Lake PP",79
"L13202921","La Loma Park",3
"L1320314","Ria de Alvor--dunas de Alvor",243
"L13203298","Waterfall Bay",1
"L13203573","Finca Descanso y Café",1
"L1320362","Bells Bend--Old Hickory Blvd",132
"L132037","Shawangunk Grasslands NWR ",3218
"L13203885","Restoran Atos",1
"L13204518","Anápolis--Parque da Matinha",7
"L1320502","Sasco Beach",13
"L1320518","Rock Springs 4-H Center (Dickinson Co.)",29
"L13205304","George V Avenue Shelter",3
"L1320602","Camino Chumpon-Tepich",2
"L1320612","Rogerstown Estuary--Turvey Hide",46
"L1320654","Lake Elmo SP",216
"L132066","Shelby Park and Bottoms (Nashville)",1140
"L132067","Reelfoot State WMA",53
"L1320679","De Mond Nature Reserve",4
"L1320688","PN Peninsula de Guanahacabibes--Cabo Corrientes",49
"L1320698","Maroochy Wetland Sanctuary",211
"L1320762","Lake O' the Woods",4
"L132077","Metcalf Point Boat Ramp",23
"L13208317","K'gari (Fraser Island)--The Fens area",1
"L1320873","Laurel Oaks Park",1
"L1320876","Inaja Memorial Park",28
"L1320888","Table Mountain NP--Lion's Head",33
"L13208922","Nong Tom paddies",1
"L13209153","桃園--月眉人工濕地生態公園(Taoyuan--Yuemei Ecoloical Wetland Park)",2
"L1320923","UC Forestry Camp",14
"L13209245","Göktürk Piknik Alanı",2
"L13209481","Decorah Community Prairie",7
"L13209482","Nurmijärvi--Myllykoski",2
"L132096","Hamilton Veterans Park",391
"L13209907","Réimerwee Park",12
"L13210199","River Bulbourne in Apsley and Ponds",5
"L13210450","Bredfjället",2
"L13210510","Ejgdetjärnet",1
"L13210653","Fjällbacka",1
"L1321141","Confluence Rd.",131
"L1321144","Red School Rd./Cora Island Rd.",460
"L1321189","Salt Wash Way--oak forest open space",4
"L1321276","Buffalo Ponds, Mill Creek",218
"L1321303","Hrunamannahreppur--Kópsvatn",2
"L1321309","Biskupstungur--Dagmálatjörn",5
"L1321311","Biskupstungur--Hagatjörn",4
"L1321314","Biskupstungur--Flókatjörn",3
"L13214108","Silver Bluff Audubon Center - Quail Trail",13
"L1321444","Cruice Park, Woodford",8
"L1321473","White City Park (Houghton Co.)",66
"L13214767","Frankfurt am Main--Wörthspitze",2
"L1321555","Bonny Doon Beach",19
"L13215644","Arundel Cemetery",2
"L1321582","Núpasveit--Brekkutjörn",24
"L1321586","Kópasker--Kotatjörn",16
"L13216425","Beechwood Park School Grounds",1
"L13216579","Bolcheøya",1
"L1321662","Rocky Mountain NP--Hidden Valley Beaver Ponds",27
"L1321719","Revillagigedo Is.--Traitors Creek",6
"L132174","San Clemente Island--Lemon Tank",737
"L13217477","Saquinho--Ilha Grande",1
"L1321783","Tungusveit--Stapavatn",8
"L1321785","Coleman Landing at Shady Oaks Recreation Area",51
"L1321807","Skagafjörður--Miklavatn",3
"L1321833","Hegranes--Svanavatn",5
"L1321862","Reserva Silvestre Sabalos Lodge",15
"L1321876","Preserve Park",18
"L1321907","Burnaby--Squint Lake Park",2
"L13219106","Mississauga--Winston Churchill/Credit Valley storm water pond",1
"L13219201","Haleakala NP--Summit",2
"L13219261","Lomas del Mar",3
"L1321956","Höfðaströnd--Lómatjörn",4
"L1321961","Fljót--Haganesvík",7
"L13219720","Sulphur Creek Park",2
"L13219741","Bimini Nature Trail",3
"L1321983","Ólafsfjarðarvatn",3
"L1321992","Southwest Mau Forest @ Kericho",11
"L13220218","Blauer Werder",3
"L13220225","Henkenwerder",1
"L1322027","Mission- Tom's Pond",32
"L13220350","Dies Plus Retention Pond (restricted access)",4
"L1322051","Santa Ana NWR--Tour Road",50
"L1322059","Santa Ana NWR--Willow Lakes",551
"L1322100","Jemima Pond, Eastham",139
"L1322101","Depot Pond, Eastham",35
"L13221188","Mendhar",143
"L13221897","Stuart's Conch Shack",1
"L1322256","Reserva de la Biosfera Calakmul--Zona Arqueológica Hormiguero",23
"L1322282","Ioco townsite",229
"L1322288","Tornillo Reservoir (private--restricted access)",20
"L13223111","Rawhide Rd.",1
"L1322316","Jurong Bird Park",61
"L13223553","Nong Sa Ngai",3
"L132236","CBBT--South Thimble Island (#1)",1876
"L1322415","Monumentos Naturales Bonampak--Camino Entrada",9
"L13224318","Koudenhoorn",1
"L13224383","Klose-Groendchen Park",4
"L13224448","Applejack Boulevard Wetlands",30
"L1322446","Tisvilde Hegn",25
"L1322448","Niagara--Robert Moses Power Station Fishing Access Pier",33
"L13224639","Nong Cham",11
"L13224687","Yozgat/Sorgun Kuşburnuluk Mevkii",1
"L1322476","Knight's Landing--fishing access",12
"L1322510","Crane Swamp Conservation Area",690
"L13225179","Joka Chotokachari",2
"L1322518","Litchfield Town Beach",185
"L13225426","Ea. Nahuel Huapi",1
"L13225680","Green Community Motor City",4
"L1322581","RN Volcan Mombacho--Entrada y Parqueo",7
"L13226049","Miller's Point",1
"L13226075","Koegras",1
"L1322671","Vopnafjörður--Krummatjörn",1
"L13226766","Centro urbano de Almeida",1
"L1322685","Niagara--Jack Custer Bird Sanctuary",4
"L13226869","Buck Hill MA—Croff Farm Brook",1
"L13227941","Guaratinguetá--arrozais do Piagui",9
"L13228795","Tussahaw Reservoir",1
"L13228976","stakeout Pine Grosbeak (Crabapple Tree)--885 S. Main St., Pascoag (2012-2013)",1
"L13229495","Parc de Bagatelle",4
"L1322963","Hwy 198--Freeman Flat Rd. to Hwy 25",47
"L13230351","Khairah Forest Park (منتزة غابة خيرة)",1
"L1323226","Sanctuary of Apollo",11
"L1323245","Skansen",47
"L1323312","Prince George--Johnson Dairy Farm Fields",12
"L1323323","Prince George--Lheidli T'enneh Memorial Park (Fort George Park)",81
"L1323348","Black River, Lorain",61
"L1323358","ETAR da Atouguia da Baleia",118
"L13234228","Malecon de Playas de Tijuana",1
"L1323432","Neville Preserve",65
"L13234385","State Game Lands 95--Meals Rd./Harbor Acres Lake Area",5
"L13235117","Sandon Church",4
"L13235176","Rio Grande--Represa Marimbondo",2
"L1323564","Rackensack Canyon",24
"L13235854","Ivan K. Hill Park",1
"L13236453","São Miguel Arcanjo--Estrada acesso Parque do Zizo",2
"L13236499","Sprewell Bluff WMA--West (Talbot Co.)",2
"L13236719","stakeout Painted Bunting, Smithfield (2020-2021)",6
"L13237097","Oakhurst-Opah Dr. pond",44
"L1323723","Maymont Park",117
"L13237373","VALUDAVUR LAKE (வழுதாவூர்)",4
"L13238844","Rouveyrac",2
"L13238980","Réserve Ornithologique du Teich--Cabane d'observation n°5",1
"L13239015","Rifaina--Trilho Mogiana",5
"L13239415","Ladeiras de Freixido",1
"L13239867","Ubatuba--Hotel Wembley Inn",1
"L13239917","Mt Vertiskos--Germani",3
"L13240682","Valle del Huerna",1
"L13240870","stakeout Boreal Chickadee, N Hoosac Rd **view from road only** (Jan 2021)",73
"L13241883","Gruta Santa da Serra da Lagoinha",4
"L13242397","Luda Yana River--Rosen Village Area",1
"L132424","George T. Bagby SP & Lodge",151
"L1324243","Quaker Creek Reservoir",1
"L13242524","Pazardzhik--Southern Industrial Zone",1
"L13242581","Pazardzhik--Stadiona Park",1
"L1324309","Hotel Meliá Las Dunas, Cayo Santa Maria",5
"L13243378","Lommel - Blekerheide",1
"L13244208","Water End Moor and River Gade environs",1
"L1324422","Foster Botanical Garden",58
"L13244225","George Elder Park",3
"L1324423","Priest Rapids Wildlife Area",6
"L1324455","Trent River--Asphodel 5th Line",18
"L13244591","Sunny Brae Community Forest",5
"L13245567","Sangchris Lake SP--Maple Flats",1
"L13246269","Loreto",4
"L13246346","Rancho La Julita",1
"L1324694","High Point Pond",46
"L13247664","莺歌海盐场 (Yinggehai Saltpans)",5
"L132478","Ormond Beach--Central Park",19
"L13247815","Southport Boat Ramp",8
"L13248095","Batatais--Ponto Rio Sapucaí",1
"L13248271","Batatais--Ponte Sta Bárbara",1
"L1324887","Tichigan Lake (Racine Co.)",7
"L13249175","Kruger NP--Biyamiti Bushveld Camp (Residents only)",6
"L1324939","Big Bend NP--Marufa Vega Trail",17
"L1324950","East St. S. & Reservoir Rd. --  Goshen",107
"L1324954","Gem Lake",18
"L13250913","Cavalões",3
"L13251023","Mallard Park",1
"L13251060","London--North London Athletic Fields",96
"L13251062","Bolton-on-Swale Lake YWT NR",1
"L13251796","Marysville",4
"L13252211","River Stour at Longham",1
"L13252592","Grant Park",4
"L13253129","Parley Common",3
"L1325398","Jebel Ali Camel Racetrack",8
"L1325401","Al Baseera Dam",2
"L1325404","Sila'a--Public Park",18
"L1325407","Dubai World Central--tower garden",1
"L1325410","Fujairah Pelagic",14
"L1325421","Judayrah",1
"L13255062","Dikling Pacheykhani Forest",5
"L13255263","Bellerive Beach Park",1
"L13255789","Acuna Park",3
"L13256598","九龙湖 (Jiulong Lake)",1
"L1325688","Wells Lake--Cedar Lake Blvd",5
"L13257106","Yoho National Park--Takakkaw Falls",64
"L13257111","La Gloria Escondida",2
"L13257830","Pohumara Sapori",1
"L13258528","Combe Valley Countryside Park",1
"L132586","Anaho Island NWR (restricted access)",4
"L1325906","Cummings Creek Restoration Interpretive Trail",3
"L132592","Tom Brown Park ",2
"L13259205","Varathamanathi Dam, Palani Hills",4
"L1325957","Moffett Creek Rd.",4
"L13259927","Mountain Rd. Torrington",12
"L132602","Tram Rd Holding Ponds (Restricted Access - weekdays only)",904
"L13260606","Casco urbano occidental--Área general",1
"L1326066","Rooisand Nature Reserve",60
"L1326093","Budongo Forest Reserve--Royal Mile",140
"L1326258","Huguenot Park",12
"L13262874","Fort Parker Memorial Cemetery",1
"L1326291","Mkumazi--Umba River bridge & thornscrub",8
"L13263179","Köln--Deutzer Friedhof",1
"L13263414","Leverkusen--Stadtpark",7
"L13263467","Hitdorfer Laach",14
"L1326374","Minnesota Valley NWR--Long Meadow Lake Trail",322
"L1326418","Chestnut St. Boat Launch",32
"L13264599","Weston Park",3
"L13265282","Sree Ulakudayaperumal Kshetram, Kesari Nagar",2
"L1326542","Bob Lake",6
"L1326562","Makuyuni (town)",5
"L1326576","Peabody WMA, Joseph Fay Britt-White City Unit",10
"L1326598","Tamarind Camp",1
"L1326605","Teslin Lake--Eagle Bay",1
"L1326612","Teslin Lake--Nisutlin Bay",2
